type,superclass,class,npmapSymbol,hfcSymbol,iconSource,makiIcon,optionalTags,description,howToMap,altNames,oldAltNames,iDSearchTerms,tags,point,vertex,line,polygon,JSON_Fields,layerIndex,inCarto,inEditor,inGuide,defaultOrder
Fire Station,Service,Support,,,maki,fire-station,,,,"[""fire department"", ""emergency""]","[""fire department"", ""emergency""]","{""fire station"",""fire department"",emergency}","{""amenity"":""fire_station""}",x,,,,"{name,nps/unitcode,operator,address}",10,TRUE,TRUE,TRUE,
First Aid Station,Service,Support,first-aid,,npmap-symbol-library,first-aid-black,,,,"[""clinic"", ""first aid"", ""medical"", ""medical clinic"", ""emergency""]","[""clinic"", ""first aid"", ""medical"", ""medical clinic"", ""emergency""]","{""first aid station"",""first aid"",medical,emergency}","{""amenity"":""first_aid""}",x,,,,"{name,nps/unitcode,operator,address}",10,TRUE,TRUE,TRUE,
Hospital,Service,Support,hospital,,npmap-symbol-library,hospital-black,,,,"[""doctor"", ""emergency room"", ""health service"", ""hospital grounds"", ""institution"", ""infirmary"", ""medical"", ""sick"", ""surgery"", ""ward"", ""emergency""]","[""doctor"", ""emergency room"", ""health service"", ""hospital grounds"", ""institution"", ""infirmary"", ""medical"", ""sick"", ""surgery"", ""ward"", ""emergency""]","{""hospital grounds"",hospital,ward,institution,infirmary,clinic,""emergency room"",doctor,""health service"",sick,surgery,medical,emergency}","{""amenity"":""hospital""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,emergency}",10,TRUE,TRUE,TRUE,
Patrol Cabin,Service,Support,,,,,,,,"[""cabin"", ""backcountry cabin"", ""backcountry office"", ""backcountry ranger cabin"", ""patrol"", ""ranger cabin"", ""ranger patrol cabin""]","[""cabin"", ""backcountry cabin"", ""backcountry office"", ""backcountry ranger cabin"", ""patrol"", ""ranger cabin"", ""ranger patrol cabin""]","{""patrol cabin"",cabin,patrol}","{""amenity"":""patrol_cabin""}",x,,,,"{name,nps/unitcode,operator,address}",,TRUE,TRUE,TRUE,
Police,Service,Support,,,maki,police,,,,"[""badge"", ""constable"", ""cops"", ""detective"", ""fed"", ""law enforcement"", ""officer"", ""police force"", ""police station"", ""emergency""]","[""badge"", ""constable"", ""cops"", ""detective"", ""fed"", ""law enforcement"", ""officer"", ""police force"", ""police station"", ""emergency""]","{police,""police station"",cops,""police force"",badge,constable,detective,fed,""law enforcement"",officer,patrol,emergency}","{""amenity"":""police""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,
Ranger Station,Service,Support,ranger-station,,npmap-symbol-library,ranger-station-black,,,,"[""park ranger"", ""permit center"", ""permit centre"", ""ranger"", ""warden office"", ""warden center""]","[""park ranger"", ""permit center"", ""permit centre"", ""ranger"", ""warden office"", ""warden center""]","{""ranger station"",""permit center"",""permit centre"",""backcountry office"",""warden office"",""warden center""}","{""amenity"":""ranger_station""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",95,TRUE,TRUE,TRUE,-2
Webcam,Service,Surveillance,webcam,,npmap-symbol-library,webcam-black,,,,"[""surveillance"", ""camera""]","[""surveillance"", ""camera""]",,"{""man_made"":""surveillance""}",x,,,,"{name,nps/unitcode,operator}",10,TRUE,TRUE,TRUE,
Telephone,Service,Telephone,telephone,,npmap-symbol-library,telephone-black,,,,"[""pay phone"", ""phone"", ""telephone box"", ""phone booth""]","[""pay phone"", ""phone"", ""telephone box"", ""phone booth""]","{telephone,phone,""telephone box"",""phone booth""}","{""amenity"":""telephone""}",x,,,,"{name,nps/unitcode,operator,address,indoor}",10,TRUE,TRUE,TRUE,17
Dumpster,Service,Waste,trash-dumpster,Trash dumpster,,,,,,"[""trash""]","[""dumpster"",""waste"",""trash""]",{dumpster},"{""amenity"":""waste_disposal""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Litter Receptacle,Service,Waste,litter-receptacle,Litter Recepticle,npmap-symbol-library,litter-receptacle-black,,,,"[""waste basket"", ""waste paper basket"", ""trash bin"", ""waste bin"", ""trash"", ""rubbish"", ""litter"", ""garbage""]","[""waste basket"", ""waste paper basket"", ""trash bin"", ""waste bin"", ""trash"", ""rubbish"", ""litter"", ""garbage""]","{""waste basket"",""waste paper basket"",""trash bin"",""waste bin"",trash,rubbish,litter,garbage}","{""amenity"":""waste_basket""}",x,,,,"{name,nps/unitcode,operator,address,waste,bin}",10,TRUE,TRUE,TRUE,19
Recycling,Service,Waste,recycling,Recycling,npmap-symbol-library,recycling-black,,,,"[""can"", ""bottle"", ""glass"", ""recycle"", ""recycle center"", ""recycle station"", ""recycling center"", ""recycling station"", ""salvage"", ""scrap""]","[""can"", ""bottle"", ""glass"", ""recycle"", ""recycle center"", ""recycle station"", ""recycling center"", ""recycling station"", ""salvage"", ""scrap""]","{recycling,salvage,garbage,trash,can,bottle,scrap}","{""amenity"":""recycling""}",x,,,,"{name,nps/unitcode,operator,address,recycling/cans,recycling/glass,recycling/paper,recycling/clothes}",10,TRUE,TRUE,TRUE,
Fountain,Service,Water,drinking-water,,,,,,,"[""well""]","[""well""]","{fountain,well}","{""amenity"":""fountain""}",x,,,,"{name,nps/unitcode,operator,address,drinking_water,lit}",10,TRUE,TRUE,TRUE,
Potable Water,Service,Water,drinking-water,,npmap-symbol-library,drinking-water-black,,,,"[""drinking fountain"", ""drinking water"", ""potable""]","[""drinking fountain"", ""drinking water"", ""potable""]","{""drinking water"",fountain,potable}","{""amenity"":""drinking_water""}",x,,,,"{name,nps/unitcode,operator,description,indoor,access}",10,TRUE,TRUE,TRUE,18
Radiator Water,Service,Water,radiator-water,Radiator Water,npmap-symbol-library,radiator-water-black,,,,"[""water tank""]","[""water tank""]","{""radiator water"",""water tank""}","{""emergency"":""water_tank""}",x,,,,"{name,nps/unitcode,operator,address}",10,TRUE,TRUE,TRUE,
Water Well,Service,Water,,,,,,,,"[""well""]","[""well""]","{""water well""}","{""man_made"":""water_well""}",x,,,,"{name,nps/unitcode,operator,drinking_water,pump}",10,TRUE,TRUE,TRUE,
Boat Dock,Structure,Recreation,,,,,,,,"[""boat"", ""dock"", ""pier""]","[""boat"", ""dock"", ""pier""]",,"{""man_made"":""pier"",""mooring"":""yes""}",,,,x,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,6
All-Terrain Vehicle Trail,Trail,Motorized,,All-terrain trail,maki,highway-track,,,,"[""all terrain trail"", ""all terrain vehicle"", ""all terrain vehicle trail"", ""all-terrain trail"", ""all-terrain vehicle"", ""atv"", ""atv trail"", ""off road"", ""off-road"", ""ohv"", ""ohv trail"", ""orv"", ""orv trail"", ""quad""]","[""all terrain trail"", ""all terrain vehicle"", ""all terrain vehicle trail"", ""all-terrain trail"", ""all-terrain vehicle"", ""atv"", ""atv trail"", ""off road"", ""off-road"", ""ohv"", ""ohv trail"", ""orv"", ""orv trail"", ""quad"", ""trail"", ""track""]","{""atv trail"",atv,""all terrain vehicle"",quad,off-road,""off road"",trail,track}","{""highway"":""track"",""motor_vehicle"":""no"", ""motorcycle"":""no"", ""foot"":""no"", ""bicycle"":""no"", ""atv"":""*"", ""4wd_only"":""no"", ""snowmobile"":""no"", ""horse"":""no""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/trailuse,nps/structure}",30,TRUE,TRUE,TRUE,
Four-Wheel Drive Trail,Trail,Motorized,,All-terrain trail,maki,highway-track,,,,"[""4wd"", ""4 wheeler"", ""4-wheeler"", ""four wheeler"", ""four-wheel drive vehicle > 50\"" in tread width"", ""four-wheeler"", ""high clearance""]","[""4wd"", ""4 wheeler"", ""4-wheeler"", ""four wheeler"", ""four-wheel drive vehicle > 50\"" in tread width"", ""four-wheeler"", ""high clearance"", ""trail"", ""track""]","{""four-wheel drive trail"",4wd,""4 wheeler"",""four-wheeler"",off-road,""off road"",trail,track,""four-wheel drive vehicle > 50 in tread width""}","{""highway"":""track"",""motor_vehicle"":""no"", ""motorcycle"":""no"", ""foot"":""no"", ""bicycle"":""no"", ""atv"":""no"", ""4wd_only"":""*"", ""snowmobile"":""no"", ""horse"":""no""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/trailuse,nps/structure}",15,TRUE,TRUE,TRUE,
Motorcycle Trail,Trail,Motorized,,,maki,highway-track,,,,[],"[""dirt bike"", ""dirt bike trail"", ""motorbike"", ""motorbike trail"", ""motorcycle"", ""trail"", ""track""]","{""motorcycle trail"",motorcycle,trail,track}","{""highway"":""track"",""motor_vehicle"":""no"", ""motorcycle"":""*"", ""atv"":""no"", ""4wd_only"":""no"", ""snowmobile"":""no"", ""horse"":""no""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/trailuse,nps/structure}",15,TRUE,TRUE,TRUE,
Motorized Trail,Trail,Motorized,,,maki,highway-track,,,,[],"[""track"", ""trail""]","{track,trail,path,motorized}","{""highway"":""track""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/trailuse,nps/structure}",25,TRUE,TRUE,TRUE,12
Snowmobile Trail,Trail,Motorized,,,maki,highway-track,,,,"[""snowmachine"", ""snowmachine trail"", ""snowmobile"", ""snow machine"", ""snow machine trail""]","[""snowmachine"", ""snowmachine trail"", ""snowmobile"", ""snow machine"", ""snow machine trail"", ""trail"", ""track""]","{""snowmobile trail"",snowmobile,""snow machine"",trail,track}","{""highway"":""track"",""motor_vehicle"":""no"", ""motorcycle"":""no"", ""foot"":""no"", ""bicycle"":""no"", ""atv"":""no"", ""4wd_only"":""no"", ""snowmobile"":""*"", ""horse"":""no""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/trailuse,nps/structure}",15,TRUE,TRUE,TRUE,
Backcountry Ski Trail,Trail,Non-Motorized,,Downhill skiing,npmap-symbol-library,downhill-skiing-black,,,,"[""backcountry"", ""backcountry ski""]","[""backcountry"", ""backcountry ski"", ""trail"", ""track""]","{""backcountry ski trail"",""backcountry ski"",backcountry,trail,track}","{""piste:type"":""skitour""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,piste/difficulty}",12,TRUE,TRUE,TRUE,
Bicycle Trail,Trail,Non-Motorized,,Bicycle trail,maki,highway-cycleway,,,,"[""bicycle"", ""bike"", ""bike trail""]","[""bicycle"", ""bike"", ""bike trail"", ""trail"", ""track""]","{""bicycle trail"",bicycle,trail,track}","{""highway"":""path"",""motor_vehicle"":""no"", ""motorcycle"":""no"", ""foot"":""no"", ""bicycle"":""*"", ""atv"":""no"", ""4wd_only"":""no"", ""snowmobile"":""no"", ""horse"":""no""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,nps/structure}",12,TRUE,TRUE,TRUE,
Canyoneering Route,Trail,Non-Motorized,,Climbing,maki,other-line,,,,[],"[""canyoneering"", ""route""]","{""canyoneering route"",canyoneering}","{""highway"":""path"",""sport"":""canyoning""}",,,x,,"{name,nps/unitcode}",12,TRUE,TRUE,TRUE,
Carriage Road,Trail,Non-Motorized,,Horseback riding,maki,highway-bridleway,,,,"[""carriage"", ""bridleway"", ""horse"", ""horse drawn"", ""horse riding"", ""horse riding trail"", ""horseback"", ""horseback riding trail""]","[""carriage"", ""bridleway"", ""horse"", ""horse drawn"", ""horse riding"", ""horse riding trail"", ""horseback"", ""horseback riding trail"", ""trail"", ""track"", ""path""]",,"{""highway"":""bridleway""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,nps/structure}",12,TRUE,TRUE,TRUE,
Climbing Route,Trail,Non-Motorized,,Climbing,maki,other-line,,,,"[""climbing"", ""route"", ""mountain climbing"", ""mountain climbing route""]","[""climbing"", ""route"", ""mountain climbing"", ""mountain climbing route""]","{""climbing route"",climing,""mountain climbing"",""mountain climbing route""}","{""highway"":""path"",""sport"":""climbing""}",,,x,,"{name,nps/unitcode}",12,TRUE,TRUE,TRUE,
Cross-Country Ski Trail,Trail,Non-Motorized,,Cross country ski trail,npmap-symbol-library,cross-country-ski-trail-black,,,,"[""cross-country"", ""cross-country ski"", ""nordic"", ""nordic ski"", ""nordic ski trail"", ""nordic trail"", ""xcs""]","[""cross-country"", ""cross-country ski"", ""nordic"", ""nordic ski"", ""nordic ski trail"", ""nordic trail"", ""xcs"", ""trail"", ""track""]","{""cross-country ski trail"",""cross-country ski"",cross-country,""nordic ski trail"",""nordic ski"",nordic,xcs,trail,track}","{""piste:type"":""nordic""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,piste/difficulty}",12,TRUE,TRUE,TRUE,
Dog Sled Trail,Trail,Non-Motorized,,,maki,other-line,,,,"[""dog sled"", ""mushing"", ""mushing trail"", ""winter track""]","[""dog sled"", ""mushing"", ""mushing trail"", ""winter track"", ""trail"", ""track""]","{""dog sled trail"",""dog sled"",""mushing trail"",""mushing"",""winter track"",trail,track}","{""piste:type"":""sleigh""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,piste/difficulty}",12,TRUE,TRUE,TRUE,
Downhill Ski Trail,Trail,Non-Motorized,,Downhill skiing,npmap-symbol-library,downhill-skiing-black,,,,"[""alpine"", ""alpine ski"", ""alpine ski trail"", ""alpine trail"", ""downhill"", ""downhill ski""]","[""alpine"", ""alpine ski"", ""alpine ski trail"", ""alpine trail"", ""downhill"", ""downhill ski"", ""trail"", ""track""]","{""downhill ski trail"",""downhill ski"",downhill,""alpine ski trail"",""alpine ski"",alpine,trail,track}","{""piste:type"":""downhill""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,piste/difficulty}",12,TRUE,TRUE,TRUE,
Horseback Riding Trail,Trail,Non-Motorized,,Horseback riding,maki,highway-bridleway,,,,"[""bridleway"", ""equestrian"", ""equestrian trail"", ""horse"", ""horse riding"", ""horse riding trail"", ""horseback"", ""horseback riding trail"", ""pack and saddle""]","[""bridleway"", ""equestrian"", ""equestrian trail"", ""horse"", ""horse riding"", ""horse riding trail"", ""horseback"", ""horseback riding trail"", ""pack and saddle"", ""trail"", ""track"", ""path""]","{""equestrian trail"",equestrian,bridleway,""horse riding"",horse,trail,track,""pack and saddle""}","{""highway"":""path"",""motor_vehicle"":""no"", ""motorcycle"":""no"", ""bicycle"":""no"", ""atv"":""no"", ""4wd_only"":""no"", ""snowmobile"":""no"", ""horse"":""*""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,nps/structure}",12,TRUE,TRUE,TRUE,
Pedestrian Path,Trail,Non-Motorized,,,maki,highway-footway,,,,"[""footway"", ""pedestrian trail""]","[""footway"", ""pedestrian trail""]","{""footway"",""pedestrian path"",""pedestrian trail""}","{""highway"":""footway""}",,,x,,"{name,nps/unitcode,""surface"",""lit"",""width"",""nps/structure"",""access""}",12,TRUE,TRUE,TRUE,13
Sidewalk,Trail,Non-Motorized,,,maki,other-line,,,,"[""footway""]","[""footway""]","{sidewalk,footway}","{""highway"":""footway"",""footway"":""sidewalk""}",,,x,,"{name,nps/unitcode,operator,surface,lit,width,nps/nonmotorizeduse,nps/structure}",12,TRUE,TRUE,TRUE,14
Snowshoe Trail,Trail,Non-Motorized,,Snowshoeing,maki,other-line,,,,"[""snowshoe"", ""showshoeing""]","[""snowshoe"", ""showshoeing"", ""trail"", ""track""]","{""snowshoe trail"",snowshoe,trail,track}","{""piste:type"":""hike""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,piste/difficulty}",12,TRUE,TRUE,TRUE,
Steps,Trail,Non-Motorized,,,maki,highway-steps,,,,"[""stairs"", ""staircase""]","[""stairs"", ""staircase""]","{""stairs"",""staircase"",""steps""}","{""highway"":""steps""}",,,x,,"{""surface"",""lit"",""width"",""incline_steps"",""access""}",12,TRUE,TRUE,TRUE,15
Trail,Trail,Non-Motorized,,,maki,highway-path,,,,"[""path"", ""track"", ""hike"", ""hiking"", ""trackway"", ""walk"", ""foot"", ""footpath"", ""hiker/pedestrian"", ""non-motorized"", ""social trail"", ""animal trail"", ""human use (social)"", ""non-human use (animal)""]","[""path"", ""track"", ""hike"", ""hiking"", ""trackway"", ""walk"", ""foot"", ""footpath"", ""hiker/pedestrian"", ""non-motorized"", ""social trail"", ""animal trail"", ""human use (social)"", ""non-human use (animal)""]","{trail,path,track,hike,hiking,trackway,walk,foot,footpath,hiker/pedestrian,non-motorized,""social trail"",""animal trail"",""human use (social)"",""non-human use (animal)""}","{""highway"":""path""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,nps/structure}",12,TRUE,TRUE,TRUE,10
Unmaintained Route,Trail,Unmaintained,,,,,,,,"[""unmaintained""]","[""unmaintained"", ""path"", ""trail"", ""route""]",,"{""highway"":""path"",""mainenance"":""no""}",,,x,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,nps/structure}",10,TRUE,TRUE,TRUE,
Ferry Route,Trail,Water,,,maki,ferry,,,,"[""ferry""]","[""ferry""]","{""ferry""}","{""route"":""ferry""}",,,x,,"{name,nps/unitcode}",25,TRUE,TRUE,TRUE,
Motorized Watercraft Trail,Trail,Water,,,maki,water,,,,"[""motorized watercraft"", ""motorboat""]","[""motorized watercraft"", ""motorboat"", ""trail"", ""track""]","{""motorized watercraft trail"",""motorized watercraft"",motorboat,trail,track}","{""motorboat"":""*"",""waterway"":""*""}",,,x,,"{name,nps/unitcode,operator,whitewater,width,section_grade,nps/wateruse}",25,TRUE,TRUE,TRUE,
Non-Motorized Watercraft Trail,Trail,Water,,,maki,other-line,,,,"[""non-motorized watercraft"", ""canoe"", ""kayak"", ""raft""]","[""non-motorized watercraft"", ""canoe"", ""kayak"", ""raft"", ""trail"", ""track""]","{""non-motorized watercraft trail"",""non-motorized watercraft"",canoe,kayak,raft,trail,track}","{""canoe"":""*"",""waterway"":""*"",""motorboat"":""no""}",,,x,,"{name,nps/unitcode,operator,whitewater,width,section_grade,nps/wateruse}",12,TRUE,TRUE,TRUE,
Boat Launch,Water Recreation,Access,boat-launch,Hand launch/Small boat launch,npmap-symbol-library,boat-launch-black,,,,"[""slipway"", ""boat ramp""]","[""slipway"", ""boat ramp""]","{""boat launch"",slipway,""boat ramp""}","{""leisure"":""slipway""}",x,,,,"{name,nps/unitcode,operator,whitewater,width,section_grade,nps/wateruse}",10,TRUE,TRUE,TRUE,20
Canoe / Kayak Access,Water Recreation,Access,canoe-access,Canoe access,npmap-symbol-library,canoe-access-black,,,,"[""canoe"", ""canoe access"", ""kayak"", ""raft""]","[""canoe"", ""canoe access"", ""kayak"", ""raft"", ""trail"", ""track""]","{""canoe access"",canoe,kayak,raft,trail,track}","{""leisure"":""slipway"",""canoe"":""*"", ""motorboat"":""no""}",x,,,,"{name,nps/unitcode,operator,whitewater,width,section_grade,nps/wateruse}",10,TRUE,TRUE,TRUE,
Water Access,Water Recreation,Access,,,,,,,,"[""water"", ""access""]","[""water"", ""access""]",,"{""natural"":""water""}",x,,,,"{name,nps/unitcode,operator,whitewater,width,section_grade,nps/wateruse}",10,TRUE,TRUE,TRUE,
Anchorage,Water Recreation,Boat,,,,,,,,"[""anchor""]","[""anchorage""]","{""anchorage""}","{""seamark:type"":""anchorage""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Boat Dock,Water Recreation,Boat,,,,,,,,"[""dock"", ""pier""]","[""boat"", ""dock"", ""pier""]",,"{""man_made"":""pier"",""mooring"":""yes""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Boat Storage,Water Recreation,Boat,,,,,,,,[],"[""boat"", ""storage""]",,"{""amenity"":""boat_storage""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Buoy,Water Recreation,Boat,,,,,,,,"[""float"", ""navigation aid""]","[""float"", ""navigation aid""]","{""buoy""}","{""man_made"":""buoy""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Marina,Water Recreation,Boat,marina,Marina,npmap-symbol-library,marina-black,,,,"[""port""]","[""port""]","{marina,harbour,harbor}","{""leisure"":""marina""}",x,,,,"{name,nps/unitcode,operator,address,capacity,mooring}",10,TRUE,TRUE,TRUE,22
Mooring,Water Recreation,Boat,,,,,,,,"[""dock""]","[""anchorage"",""anchor"",""dock""]","{""mooring""}","{""mooring"":""*""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Sailing,Water Recreation,Boat,sailing,Sail,npmap-symbol-library,sailing-black,,,,"[""sail"", ""sailing area"", ""sail area""]","[""sail"", ""sailing area"", ""sail area""]",{sailing},"{""sport"":""sailing""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Zebra Mussel Decontamination Station,Water Recreation,Boat,zebra-mussel-decontamination-station,Zebra mussel decontamination station,,,,,,"[""decontamination"", ""decontamination station""]","[""decontamination"", ""decontamination station""]","{""zebra mussel decontamination station""}","{""amenity"":""boat_wash"",""type"":""zebra_mussel""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Fish Cleaning,Water Recreation,Fishing,,Fish cleaning,,,,,,"[""cleaning"", ""fish cleaning station"", ""fish cleaning table""]","[""fish cleaning station"", ""fish cleaning table""]","{""fish cleaning""}","{""amenity"":""fish_cleaning""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Fish Hatchery,Water Recreation,Fishing,,Fish hatchery,,,,,,"[""hatchery""]","[""fish"",""hatchery""]","{""fish hatchery""}","{""landuse"":""aquaculture""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Fishing,Water Recreation,Fishing,fishing,Fishing,npmap-symbol-library,fishing-black,,,,"[""fish""]","[""fish"",""fishing""]",{fishing},"{""leisure"":""fishing""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,21
Lighthouse,Water Recreation,Lighthouse,lighthouse,,,,,,,"[""beacon""]","[""beacon""]","{""lighthouse""}","{""man_made"":""lighthouse""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Scuba Diving,Water Recreation,Scuba,scuba-diving,,npmap-symbol-library,scuba-diving-black,,,,"[""scuba"", ""scuba diving area""]","[""scuba"", ""scuba diving area""]","{""scuba diving""}","{""sport"":""scuba_diving""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Swimming Area,Water Recreation,Swimming,swimming,,npmap-symbol-library,swimming-black,,,,"[""pool"", ""natural pool"", ""natural swimming pool"", ""swimming"", ""swimming pool""]","[""pool"", ""natural pool"", ""natural swimming pool"", ""swimming"", ""swimming pool""]","{""swimming area""}","{""sport"":""swimming""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Windsurfing Area,Water Recreation,Windsurfing,windsurfing,,npmap-symbol-library,wind-surfing-black,,,,"[""windsurfing"", ""wind surfing"", ""wind surfing area""]","[""windsurfing"", ""wind surfing"", ""wind surfing area""]","{""wind surfing area""}","{""sport"":""windsurfing""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Cross-Country Ski Trail,Winter Recreation,Cross-Country Skiing,cross-country-ski-trail,Cross country ski trail,npmap-symbol-library,cross-country-ski-trail-black,,,,"[""cross-country"", ""cross-country ski"", ""nordic"", ""nordic ski"", ""nordic ski trail"", ""nordic trail"", ""xcs""]","[""cross-country"", ""cross-country ski"", ""nordic"", ""nordic ski"", ""nordic ski trail"", ""nordic trail"", ""xcs"", ""trail"", ""track""]","{""cross-country ski trail"",""cross-country ski"",cross-country,""nordic ski trail"",""nordic ski"",nordic,xcs,trail,track}","{""piste:type"":""nordic""}",x,,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,piste/difficulty}",10,TRUE,TRUE,TRUE,
Dog Sled Trail,Winter Recreation,Dog Sled,,,,,,,,"[""dog sled"", ""mushing"", ""mushing trail"", ""winter track""]","[""dog sled"", ""mushing"", ""mushing trail"", ""winter track"", ""trail"", ""track""]","{""dog sled trail"",""dog sled"",""mushing trail"",""mushing"",""winter track"",trail,track}","{""piste:type"":""sleigh""}",x,,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,piste/difficulty}",10,TRUE,TRUE,TRUE,
Backcountry Ski Trail,Winter Recreation,Downhill Skiing,,Downhill skiing,,,,,,"[""backcountry"", ""backcountry ski""]","[""backcountry"", ""backcountry ski"", ""trail"", ""track""]","{""backcountry ski trail"",""backcountry ski"",backcountry,trail,track,structure}","{""piste:type"":""skitour""}",x,,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,piste/difficulty}",10,TRUE,TRUE,TRUE,
Downhill Ski Trail,Winter Recreation,Downhill Skiing,downhill-skiing,Downhill skiing,npmap-symbol-library,downhill-skiing-black,,,,"[""alpine"", ""alpine ski"", ""alpine ski trail"", ""alpine trail"", ""downhill"", ""downhill ski""]","[""alpine"", ""alpine ski"", ""alpine ski trail"", ""alpine trail"", ""downhill"", ""downhill ski"", ""trail"", ""track""]","{""downhill ski trail"",""downhill ski"",downhill,""alpine ski trail"",""alpine ski"",alpine,trail,track}","{""piste:type"":""downhill""}",x,,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,piste/difficulty}",10,TRUE,TRUE,TRUE,
Ice Rink,Winter Recreation,Ice Skating,ice-skating,,npmap-symbol-library,ice-skating-black,,,,"[""curling"", ""hockey"", ""hockey rink"", ""ice skating"", ""ice skating area"", ""rink"", ""skating""]","[""curling"", ""hockey"", ""hockey rink"", ""ice skating"", ""ice skating area"", ""rink"", ""skating""]","{""ice rink"",hockey,skating,curling}","{""leisure"":""ice_rink""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,seasonal,sport}",10,TRUE,TRUE,TRUE,
