type,superclass,class,npmapSymbol,hfcSymbol,iconSource,makiIcon,optionalTags,description,howToMap,altNames,oldAltNames,iDSearchTerms,tags,point,vertex,line,polygon,JSON_Fields,layerIndex,inCarto,inEditor,inGuide,defaultOrder
Historic Ruins,Historic,Ruin,historic-feature,Ruin,,,,,,[],"[""historic"", ""ruins""]","{""historic ruins"",ruins}","{""historic"":""ruins""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Historic Ship,Historic,Ship,historic-feature,,,,A tag for a decommissioned ship/submarine which has become a tourist attraction and generally remains in one place. This applies to both military and non-military ships.,,,[],"[""historic"", ""ship""]","{""ship"",""historic""}","{""historic"":""ship""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Historic Site,Historic,Site,historic-feature,Ruin,,,,,,[],"[""historic"", ""site""]","{""historic site"",historic,site}","{""historic"":""*""}",x,,,,"{name,nps/unitcode,site_type}",10,TRUE,TRUE,TRUE,
Wreck,Historic,Wreck,historic-feature,Partially submerged wreck,,,,,,"[""shipwreck"", ""submerged wreck""]","[""historic"", ""shipwreck"", ""submerged wreck""]","{""wreck"",""shipwreck""}","{""historic"":""wreck""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Brochure Box,Information,Information,,,,,,,,"[""brochure holder"", ""brochure dispenser"", ""dispenser"", ""information dispenser""]","[""information"", ""brochure holder"", ""brochure dispenser"", ""dispenser"", ""information dispenser""]","{""brochure box""}","{""tourism"":""information"",""information"":""brochure""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",80,TRUE,TRUE,TRUE,
Information,Information,Information,information,Interpretive exhibit,npmap-symbol-library,information-black,,,,"[""tourist information"", ""visitor information""]","[""tourist information"", ""visitor information""]","{information,""tourist information""}","{""tourism"":""information""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",80,TRUE,TRUE,TRUE,11
Information Board,Information,Information,sign,,npmap-symbol-library,information-black,,,,"[""bulletin board"", ""information kiosk"", ""kiosk""]","[""information"", ""bulletin board"", ""information kiosk"", ""kiosk""]","{""bulletin board""}","{""tourism"":""information"",""information"":""board""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",80,TRUE,TRUE,TRUE,
Information Map,Information,Information,sign,Maps,npmap-symbol-library,information-black,,,,"[""map""]","[""information"", ""map""]","{""information map"",information,map}","{""tourism"":""information"",""information"":""map""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",80,TRUE,TRUE,TRUE,
Interpretive Exhibit,Information,Information,interpretive-exhibit,Interpretive exhibit,npmap-symbol-library,information-black,,,,"[""attraction"", ""exhibit"", ""exhibit / wayside"", ""exhibit/wayside"", ""interpretive sign"", ""tourist attraction"", ""wayside""]","[""information"", ""attraction"", ""exhibit"", ""exhibit / wayside"", ""exhibit/wayside"", ""interpretive sign"", ""tourist attraction"", ""wayside""]","{""exhibit / wayside"",exhibit,wayside,attraction,""tourist attraction"",""interpretive sign""}","{""tourism"":""information"",""information"":""exhibit""}",x,x,,,"{name,nps/unitcode,operator,address,opening_hours}",80,TRUE,TRUE,TRUE,
Directional Sign,Information,Sign,sign,,,,,,,"[""directional""]","[""sign"", ""directional""]","{""directional sign""}","{""tourism"":""information"",""information"":""sign"",""sign:type"":""directional""}",x,,,,"{name,nps/unitcode,operator}",,TRUE,TRUE,TRUE,
Gateway Sign,Information,Sign,sign,,,,,,,"[""sign"", ""gateway"", ""location"", ""place name""]","[""sign"", ""gateway"", ""location"", ""place name""]","{""gateway sign"",location,""place name""}","{""tourism"":""information"",""information"":""sign""}",x,x,,,"{name,nps/unitcode,operator,address,opening_hours}",80,TRUE,TRUE,TRUE,
Mile Marker,Information,Sign,sign,,,,,,,"[""milepost""]","[""marker"", ""milepost""]","{""mile marker""}","{""highway"":""milestone""}",x,,,,"{name,nps/unitcode,operator}",,TRUE,TRUE,TRUE,
Regulatory Sign,Information,Sign,sign,,,,,,,"[""regulatory"", ""traffic law""]","[""sign"", ""regulatory"", ""traffic law""]","{""regulatory sign""}","{""tourism"":""information"",""information"":""sign"",""sign:type"":""regulatory""}",x,,,,"{name,nps/unitcode,operator}",,TRUE,TRUE,TRUE,
Trail Marker,Information,Sign,trailhead,,,,,,,"[""path marker""]","[""marker"", ""path marker""]","{""trail marker"",trail,marker,sign}","{""tourism"":""information"",""information"":""guidepost""}",x,,,,"{name,nps/unitcode,operator}",,TRUE,TRUE,TRUE,
Trail Sign,Information,Sign,trailhead,,,,,,,[],"[""sign"", ""trail""]","{""trail sign"",trail,sign}","{""tourism"":""information"",""information"":""sign"",""sign:type"":""trail_sign""}",x,,,,"{name,nps/unitcode,operator}",,TRUE,TRUE,TRUE,
Visitor Center,Information,Visitor Center,visitor-center,,npmap-symbol-library,visitor-center-black,,"A visitor center is a building housing information for visitors, typically including some or all of the following: information resources, facilities (e.g. restrooms, drinking water), ranger staff, and exhibits.","Add a visitor center by creating a point on top of the associated building and selecting ""Visitor Center"" from the ""Select feature type"" menu. Additionally, trace the building footprint if it has not been added already.","[""information"", ""visitor centre"", ""visitor information""]","[""information"", ""visitor centre"", ""visitor information""]","{""visitor center"",""visitor centre"",""visitor information"",information}","{""tourism"":""information"",""information"":""office""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",100,TRUE,TRUE,TRUE,-8
All-Terrain Vehicle Trail,Land Recreation,All-Terrain Vehicle,all-terrain-trail,All-terrain trail,,,,,,"[""all terrain trail"", ""all terrain vehicle"", ""all terrain vehicle trail"", ""all-terrain trail"", ""all-terrain vehicle"", ""atv"", ""atv trail"", ""off road"", ""off-road"", ""ohv"", ""ohv trail"", ""orv"", ""orv trail"", ""quad"", ""trail"", ""track""]","[""all terrain trail"", ""all terrain vehicle"", ""all terrain vehicle trail"", ""all-terrain trail"", ""all-terrain vehicle"", ""atv"", ""atv trail"", ""off road"", ""off-road"", ""ohv"", ""ohv trail"", ""orv"", ""orv trail"", ""quad"", ""trail"", ""track""]","{""atv trail"",atv,""all terrain vehicle"",quad,4wd,""4 wheeler"",""four-wheeler"",off-road,""off road"",trail,track,structure}","{""highway"":""track"",""atv"":""*""}",x,,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/trailuse,nps/structure}",30,TRUE,TRUE,TRUE,
Four-Wheel Drive Trail,Land Recreation,All-Terrain Vehicle,four-wheel-drive-road,All-terrain trail,,,,,,"[""4wd"", ""4 wheeler"", ""4-wheeler"", ""four wheeler"", ""four-wheel drive vehicle > 50\"" in tread width"", ""four-wheeler"", ""high clearance"", ""trail"", ""track""]","[""4wd"", ""4 wheeler"", ""4-wheeler"", ""four wheeler"", ""four-wheel drive vehicle > 50\"" in tread width"", ""four-wheeler"", ""high clearance"", ""trail"", ""track""]","{""four-wheel drive trail"",atv,""all terrain vehicle"",quad,4wd,""4 wheeler"",""four-wheeler"",off-road,""off road"",trail,track}","{""highway"":""track"",""4wd_only"":""*""}",x,,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/trailuse,nps/structure}",30,TRUE,TRUE,TRUE,
Bicycle Trail,Land Recreation,Bicycle,bicycle-trail,Bicycle trail,npmap-symbol-library,bicycle-trail-black,,,,"[""bicycle"", ""bike"", ""bike trail""]","[""bicycle"", ""bike"", ""bike trail"", ""trail"", ""track""]","{""bicycle trail"",bicycle,trail,track}","{""highway"":""path"",""bicycle"":""*""}",x,,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,nps/structure}",30,TRUE,TRUE,TRUE,
Bike Rack,Land Recreation,Bicycle,,,,,,,,"[""bicycle parking"", ""bicycle rack"", ""bicycle stand"", ""bike parking"", ""bike stand""]","[""bicycle parking"", ""bicycle rack"", ""bicycle stand"", ""bike parking"", ""bike stand""]","{""bike rack""}","{""amenity"":""bicycle_parking"",""bicycle_parking"":""rack""}",x,,,,"{name,nps/unitcode}",30,TRUE,TRUE,TRUE,
